"Drive Speed, n",Unit,Leakage Filter Clog,"Leakage Flow, QL",Unit,Main Flow Filter Clog,"Main Flow, Q ",Unit,Pilot_X1,Unit,Pilot_X2,Unit,"Pressure Remote, G",Unit,Pressure_A,Unit,Pressure _B,Unit,Recirculation Filter Clog
1642.639125,rpm,FALSE,0.0125,l/min,FALSE,93.475,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,132.6333333,bar,FALSE
1592.71995,rpm,FALSE,0.0125,l/min,FALSE,93.475,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,132.6333333,bar,FALSE
1631.156742,rpm,FALSE,0.0125,l/min,FALSE,93.475,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,132.6333333,bar,FALSE
1592.914567,rpm,FALSE,0.0125,l/min,FALSE,104.825,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,119.3833333,bar,FALSE
1665.993125,rpm,FALSE,0.0125,l/min,FALSE,104.825,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,101.0666667,bar,FALSE
1552.336992,rpm,FALSE,0.0125,l/min,FALSE,94.825,l/min,0.17,bar,0.13,bar,-0.033333333,bar,19.71666667,bar,101.0666667,bar,FALSE
1589.119542,rpm,FALSE,0.0125,l/min,FALSE,94.825,l/min,0.17,bar,0.13,bar,-0.033333333,bar,19.55,bar,101.0666667,bar,FALSE
1623.566692,rpm,FALSE,0.0125,l/min,FALSE,94.825,l/min,0.17,bar,0.2175,bar,-0.033333333,bar,19.55,bar,101.0666667,bar,FALSE
1592.1361,rpm,FALSE,0.0125,l/min,FALSE,105.075,l/min,0.17,bar,0.2175,bar,-0.033333333,bar,19.55,bar,81.1,bar,FALSE
1611.013917,rpm,FALSE,0.0125,l/min,FALSE,95,l/min,0.17,bar,0.2175,bar,-0.033333333,bar,19.55,bar,80.11666667,bar,FALSE
1587.367992,rpm,FALSE,0.0125,l/min,FALSE,95,l/min,0.17,bar,0.325,bar,-0.033333333,bar,19.55,bar,80.11666667,bar,FALSE
1616.755108,rpm,FALSE,0.0125,l/min,FALSE,95,l/min,0.19,bar,0.325,bar,-0.033333333,bar,19.55,bar,79.95,bar,FALSE
1570.630958,rpm,FALSE,0.0125,l/min,FALSE,105.9,l/min,0.19,bar,0.325,bar,-0.033333333,bar,19.55,bar,70.33333333,bar,FALSE
1620.258208,rpm,FALSE,0.0125,l/min,FALSE,107.975,l/min,0.19,bar,0.325,bar,-0.033333333,bar,19.45,bar,53.16666667,bar,FALSE
1582.697192,rpm,FALSE,0.0125,l/min,FALSE,96.75,l/min,0.19,bar,0.325,bar,-0.033333333,bar,19.45,bar,53.16666667,bar,FALSE
1619.090508,rpm,FALSE,0.0125,l/min,FALSE,96.75,l/min,0.19,bar,0.325,bar,-0.033333333,bar,19.45,bar,53,bar,FALSE
1546.01195,rpm,FALSE,0.0125,l/min,FALSE,107.125,l/min,0.19,bar,0.415,bar,-0.033333333,bar,19.45,bar,39.53333333,bar,FALSE
1640.887575,rpm,FALSE,0.0125,l/min,FALSE,107.3,l/min,0.19,bar,0.415,bar,-0.033333333,bar,19.45,bar,25.33333333,bar,FALSE
1552.045067,rpm,FALSE,0.0125,l/min,FALSE,107.3,l/min,0.19,bar,0.525,bar,-0.033333333,bar,15.13333333,bar,16.25,bar,FALSE
1655.386517,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,15.13333333,bar,16.13333333,bar,FALSE
1478.966508,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,11.03333333,bar,12.11666667,bar,FALSE
1654.899975,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,11.03333333,bar,12.11666667,bar,FALSE
1568.7821,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,11.03333333,bar,12.11666667,bar,FALSE
1673.096633,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,11.03333333,bar,12.11666667,bar,FALSE
1574.328675,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.2125,bar,0.525,bar,-0.033333333,bar,10.9,bar,11.96666667,bar,FALSE
1703.262217,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.235,bar,0.525,bar,-0.033333333,bar,10.9,bar,11.96666667,bar,FALSE
1604.883492,rpm,FALSE,0.0125,l/min,FALSE,96.55,l/min,0.235,bar,0.525,bar,-0.033333333,bar,10.9,bar,11.96666667,bar,FALSE
